+RPKM	percent	accumulative_value
0	0.0	0
0.01	0.0	1
0.03	0.0	4
0.04	0.0	5
0.05	0.0	12
0.06	0.1	27
0.07	0.2	42
0.08	0.2	63
0.09	0.4	93
0.1	0.5	126
0.11	0.7	179
0.12	0.9	232
0.13	1.1	276
0.14	1.3	326
0.15	1.5	393
0.16	1.8	468
0.17	2.1	530
0.18	2.4	609
0.19	2.6	674
0.2	2.9	747
0.21	3.3	838
0.22	3.7	933
0.23	4.0	1014
0.24	4.3	1104
0.25	4.7	1199
0.26	5.1	1309
0.27	5.5	1406
0.28	5.9	1510
0.29	6.4	1617
0.3	6.8	1728
0.31	7.2	1834
0.32	7.7	1947
0.33	8.1	2057
0.34	8.5	2175
0.35	9.0	2281
0.36	9.5	2409
0.37	10.0	2534
0.38	10.4	2646
0.39	10.9	2764
0.4	11.3	2880
0.41	11.8	3005
0.42	12.3	3124
0.43	12.8	3251
0.44	13.2	3357
0.45	13.7	3482
0.46	14.2	3620
0.47	14.6	3724
0.48	15.0	3828
0.49	15.5	3935
0.5	15.8	4028
0.51	16.3	4138
0.52	16.7	4237
0.53	17.1	4342
0.54	17.5	4446
0.55	17.9	4549
0.56	18.3	4651
0.57	18.7	4763
0.58	19.2	4873
0.59	19.5	4968
0.6	20.0	5090
0.61	20.5	5220
0.62	20.9	5320
0.63	21.3	5412
0.64	21.6	5503
0.65	22.0	5605
0.66	22.4	5703
0.67	22.8	5809
0.68	23.2	5903
0.69	23.7	6030
0.7	24.1	6134
0.71	24.5	6225
0.72	24.9	6331
0.73	25.2	6423
0.74	25.6	6516
0.75	26.0	6625
0.76	26.4	6707
0.77	26.7	6800
0.78	27.1	6888
0.79	27.5	6986
0.8	27.8	7074
0.81	28.1	7152
0.82	28.5	7245
0.83	28.8	7323
0.84	29.1	7400
0.85	29.4	7483
0.86	29.7	7548
0.87	30.1	7662
0.88	30.4	7742
0.89	30.7	7817
0.9	31.0	7887
0.91	31.3	7964
0.92	31.6	8034
0.93	31.9	8121
0.94	32.2	8194
0.95	32.6	8283
0.96	32.9	8363
0.97	33.2	8443
0.98	33.5	8527
0.99	33.8	8597
1.0	34.0	8661
1.01	34.4	8750
1.02	34.7	8826
1.03	35.0	8896
1.04	35.3	8973
1.05	35.5	9043
1.06	35.8	9097
1.07	36.0	9150
1.08	36.2	9222
1.09	36.5	9287
1.1	36.8	9361
1.11	37.1	9431
1.12	37.4	9503
1.13	37.6	9570
1.14	37.9	9636
1.15	38.1	9704
1.16	38.4	9777
1.17	38.7	9846
1.18	38.9	9909
1.19	39.2	9977
1.2	39.5	10056
1.21	39.8	10125
1.22	40.1	10201
1.23	40.4	10279
1.24	40.7	10367
1.25	41.0	10430
1.26	41.2	10484
1.27	41.4	10538
1.28	41.6	10589
1.29	41.9	10654
1.3	42.2	10725
1.31	42.4	10784
1.32	42.6	10832
1.33	42.8	10879
1.34	43.0	10938
1.35	43.2	10995
1.36	43.4	11053
1.37	43.7	11114
1.38	43.9	11174
1.39	44.1	11230
1.4	44.3	11283
1.41	44.6	11342
1.42	44.8	11390
1.43	45.0	11451
1.44	45.2	11507
1.45	45.5	11577
1.46	45.7	11624
1.47	46.0	11694
1.48	46.2	11752
1.49	46.4	11795
1.5	46.6	11852
1.51	46.8	11905
1.52	47.0	11958
1.53	47.2	12000
1.54	47.3	12033
1.55	47.5	12083
1.56	47.7	12137
1.57	47.9	12178
1.58	48.1	12231
1.59	48.3	12281
1.6	48.5	12340
1.61	48.7	12392
1.62	48.9	12429
1.63	49.0	12478
1.64	49.2	12518
1.65	49.4	12564
1.66	49.6	12617
1.67	49.8	12658
1.68	49.9	12696
1.69	50.1	12739
1.7	50.2	12782
1.71	50.4	12828
1.72	50.6	12870
1.73	50.7	12910
1.74	50.9	12946
1.75	51.1	12996
1.76	51.2	13026
1.77	51.4	13072
1.78	51.5	13111
1.79	51.7	13153
1.8	51.8	13190
1.81	52.0	13233
1.82	52.2	13278
1.83	52.3	13311
1.84	52.5	13352
1.85	52.7	13401
1.86	52.8	13437
1.87	52.9	13472
1.88	53.1	13520
1.89	53.3	13556
1.9	53.5	13600
1.91	53.6	13633
1.92	53.7	13674
1.93	53.9	13717
1.94	54.0	13751
1.95	54.2	13789
1.96	54.4	13831
1.97	54.5	13861
1.98	54.6	13902
1.99	54.8	13947
2.0	54.9	13980
2.01	55.1	14019
2.02	55.3	14066
2.03	55.4	14100
2.04	55.5	14133
2.05	55.7	14167
2.06	55.8	14207
2.07	56.0	14258
2.08	56.2	14302
2.09	56.3	14336
2.1	56.5	14364
2.11	56.6	14402
2.12	56.7	14438
2.13	56.9	14473
2.14	57.0	14499
2.15	57.1	14529
2.16	57.2	14560
2.17	57.3	14591
2.18	57.5	14619
2.19	57.6	14650
2.2	57.7	14684
2.21	57.9	14719
2.22	58.0	14765
2.23	58.2	14797
2.24	58.3	14827
2.25	58.4	14863
2.26	58.5	14895
2.27	58.7	14923
2.28	58.8	14956
2.29	59.0	15005
2.3	59.1	15046
2.31	59.3	15077
2.32	59.3	15100
2.33	59.5	15145
2.34	59.7	15177
2.35	59.8	15203
2.36	59.9	15238
2.37	60.0	15275
2.38	60.1	15296
2.39	60.3	15331
2.4	60.4	15363
2.41	60.5	15388
2.42	60.6	15424
2.43	60.8	15461
2.44	60.9	15496
2.45	61.0	15524
2.46	61.1	15555
2.47	61.2	15580
2.48	61.4	15613
2.49	61.5	15646
2.5	61.6	15680
2.51	61.8	15716
2.52	61.9	15747
2.53	62.0	15781
2.54	62.1	15810
2.55	62.2	15834
2.56	62.3	15858
2.57	62.4	15886
2.58	62.6	15917
2.59	62.7	15942
2.6	62.8	15975
2.61	62.9	15993
2.62	63.0	16020
2.63	63.1	16042
2.64	63.1	16065
2.65	63.3	16093
2.66	63.3	16118
2.67	63.5	16147
2.68	63.6	16175
2.69	63.7	16195
2.7	63.7	16217
2.71	63.8	16240
2.72	63.9	16266
2.73	64.0	16287
2.74	64.1	16318
2.75	64.2	16337
2.76	64.3	16361
2.77	64.4	16393
2.78	64.5	16419
2.79	64.6	16446
2.8	64.7	16461
2.81	64.8	16478
2.82	64.8	16496
2.83	64.9	16521
2.84	65.0	16540
2.85	65.1	16563
2.86	65.2	16594
2.87	65.3	16616
2.88	65.4	16642
2.89	65.5	16665
2.9	65.6	16689
2.91	65.7	16721
2.92	65.8	16742
2.93	65.9	16767
2.94	66.0	16793
2.95	66.1	16810
2.96	66.2	16853
2.97	66.3	16881
2.98	66.4	16906
2.99	66.6	16935
3.0	66.6	16950
3.01	66.7	16975
3.02	66.8	17001
3.03	67.0	17035
3.04	67.0	17057
3.05	67.1	17083
3.06	67.2	17104
3.07	67.3	17123
3.08	67.4	17144
3.09	67.5	17165
3.1	67.6	17192
3.11	67.7	17215
3.12	67.7	17236
3.13	67.8	17263
