+RPKM	percent	accumulative_value
0	0.0	0
0.2	0.0	1
0.26	0.0	2
0.27	0.0	3
0.28	0.0	4
0.29	0.0	6
0.3	0.1	7
0.31	0.1	11
0.32	0.1	14
0.33	0.1	15
0.34	0.1	18
0.35	0.1	19
0.36	0.2	22
0.37	0.2	26
0.38	0.2	30
0.39	0.3	37
0.4	0.3	39
0.41	0.3	42
0.42	0.3	45
0.43	0.4	53
0.44	0.4	60
0.45	0.5	67
0.46	0.6	75
0.47	0.6	79
0.48	0.6	83
0.49	0.7	90
0.5	0.7	96
0.51	0.8	104
0.52	0.8	108
0.53	0.8	112
0.54	0.9	115
0.55	0.9	122
0.56	1.0	129
0.57	1.0	137
0.58	1.1	148
0.59	1.2	158
0.6	1.2	165
0.61	1.3	174
0.62	1.4	186
0.63	1.5	200
0.64	1.5	206
0.65	1.7	222
0.66	1.7	233
0.67	1.8	248
0.68	1.9	260
0.69	2.0	269
0.7	2.1	284
0.71	2.2	300
0.72	2.4	316
0.73	2.4	327
0.74	2.5	334
0.75	2.6	352
0.76	2.7	362
0.77	2.8	373
0.78	2.9	392
0.79	3.0	408
0.8	3.1	418
0.81	3.1	422
0.82	3.3	441
0.83	3.4	462
0.84	3.5	473
0.85	3.6	489
0.86	3.8	516
0.87	3.9	530
0.88	4.1	548
0.89	4.2	561
0.9	4.3	575
0.91	4.4	590
0.92	4.6	613
0.93	4.7	625
0.94	4.8	643
0.95	4.9	653
0.96	5.0	673
0.97	5.1	685
0.98	5.2	702
0.99	5.4	721
1.0	5.6	749
1.01	5.7	761
1.02	5.8	783
1.03	5.9	799
1.04	6.1	818
1.05	6.2	831
1.06	6.4	854
1.07	6.5	869
1.08	6.6	885
1.09	6.8	913
1.1	6.9	927
1.11	7.0	942
1.12	7.1	959
1.13	7.3	978
1.14	7.4	991
1.15	7.6	1015
1.16	7.7	1032
1.17	7.8	1052
1.18	8.0	1072
1.19	8.1	1086
1.2	8.2	1107
1.21	8.4	1129
1.22	8.6	1157
1.23	8.7	1174
1.24	8.9	1193
1.25	9.1	1219
1.26	9.2	1239
1.27	9.4	1261
1.28	9.6	1284
1.29	9.7	1303
1.3	9.9	1330
1.31	10.1	1351
1.32	10.2	1372
1.33	10.3	1389
1.34	10.4	1401
1.35	10.6	1429
1.36	10.8	1449
1.37	11.0	1472
1.38	11.1	1486
1.39	11.2	1507
1.4	11.5	1542
1.41	11.6	1564
1.42	11.7	1578
1.43	11.8	1591
1.44	12.0	1612
1.45	12.2	1640
1.46	12.4	1662
1.47	12.6	1687
1.48	12.7	1707
1.49	12.9	1730
1.5	13.1	1756
1.51	13.2	1776
1.52	13.4	1794
1.53	13.5	1813
1.54	13.7	1835
1.55	13.8	1853
1.56	13.9	1867
1.57	14.0	1880
1.58	14.1	1899
1.59	14.3	1917
1.6	14.4	1940
1.61	14.7	1972
1.62	14.8	1994
1.63	15.0	2012
1.64	15.2	2038
