+Length	percent	accumulative_value
0	0.0	0
3	0.2	5
4	0.2	7
5	0.3	8
6	0.3	9
7	0.3	10
8	0.4	13
9	0.5	17
11	0.8	24
12	0.8	25
13	1.0	32
14	1.1	35
15	1.1	36
16	1.2	38
17	1.4	44
18	1.5	46
19	2.1	67
20	4.2	132
21	5.7	179
22	7.9	247
23	10.6	333
24	12.6	395
25	14.5	456
26	15.8	495
27	16.9	531
28	17.8	560
29	19.0	595
30	20.0	628
31	20.7	649
32	21.8	683
33	23.1	725
34	24.4	765
35	25.4	797
36	26.4	829
37	27.7	869
38	29.1	914
39	30.6	959
40	32.0	1005
41	33.6	1054
42	34.8	1092
43	36.7	1151
44	37.9	1190
45	39.4	1235
46	40.7	1278
47	42.4	1331
48	43.5	1364
49	44.8	1407
50	46.2	1450
51	47.8	1501
52	49.2	1545
53	50.9	1598
54	52.3	1640
55	53.1	1667
56	54.3	1704
57	55.2	1731
58	56.1	1760
59	57.1	1791
60	58.3	1828
61	59.6	1871
62	60.6	1901
63	61.3	1924
64	62.2	1952
65	62.8	1970
66	63.6	1997
67	64.8	2032
68	65.4	2051
69	66.0	2072
70	66.8	2095
71	67.9	2130
72	68.7	2157
73	69.5	2182
74	70.3	2207
75	71.0	2229
76	72.1	2261
77	72.8	2283
78	73.5	2306
79	74.3	2330
80	74.9	2351
81	75.6	2373
82	76.2	2391
83	76.6	2404
84	77.3	2427
85	78.1	2450
86	78.6	2467
87	79.4	2491
88	79.9	2506
89	80.4	2522
90	80.8	2537
91	81.3	2551
92	81.8	2567
93	82.2	2580
94	82.8	2597
95	83.2	2611
96	83.6	2624
97	84.0	2637
98	84.4	2649
99	84.6	2655
100	84.7	2659
101	85.1	2669
102	85.3	2678
103	85.7	2689
104	86.2	2704
105	86.6	2716
106	86.8	2725
107	87.1	2734
108	87.4	2743
109	87.8	2756
110	88.2	2769
111	88.4	2774
112	88.6	2780
113	88.9	2789
114	89.0	2792
115	89.3	2802
116	89.6	2811
117	90.0	2824
118	90.2	2830
119	90.3	2835
120	90.6	2842
121	90.8	2849
122	91.0	2855
123	91.1	2860
124	91.3	2864
125	91.4	2868
126	91.5	2870
127	91.7	2877
128	91.7	2879
129	91.8	2881
130	92.0	2887
131	92.2	2894
132	92.4	2899
133	92.5	2903
134	92.6	2907
135	92.8	2913
136	93.0	2917
137	93.1	2922
138	93.2	2925
139	93.3	2928
140	93.4	2931
141	93.7	2939
142	93.8	2944
143	93.9	2946
144	93.9	2947
145	94.0	2950
146	94.2	2956
147	94.4	2961
148	94.4	2963
149	94.6	2969
150	94.7	2971
151	94.8	2975
152	94.8	2976
153	95.0	2980
154	95.1	2983
155	95.2	2986
156	95.3	2989
157	95.3	2992
160	95.4	2993
161	95.4	2995
162	95.5	2998
163	95.6	3000
164	95.7	3002
165	95.8	3006
166	95.8	3007
167	95.9	3008
168	95.9	3009
169	95.9	3010
170	96.0	3012
171	96.0	3014
172	96.1	3015
173	96.2	3018
174	96.2	3019
175	96.3	3021
176	96.3	3023
177	96.4	3024
178	96.4	3025
180	96.5	3027
181	96.5	3029
183	96.7	3035
184	96.8	3039
185	97.0	3043
186	97.0	3044
187	97.0	3045
189	97.1	3047
190	97.2	3049
191	97.3	3052
192	97.3	3053
193	97.4	3055
195	97.5	3059
196	97.5	3060
197	97.5	3061
200	97.6	3062
203	97.7	3065
204	97.8	3068
205	97.8	3069
206	97.8	3070
210	97.9	3071
213	97.9	3072
214	97.9	3073
215	98.0	3074
216	98.0	3075
217	98.0	3076
218	98.1	3077
220	98.1	3078
222	98.2	3080
225	98.2	3082
227	98.2	3083
229	98.3	3084
230	98.3	3085
232	98.3	3086
233	98.5	3090
238	98.5	3091
240	98.5	3092
244	98.6	3093
245	98.6	3095
247	98.7	3096
250	98.7	3097
251	98.7	3098
254	98.8	3099
255	98.8	3100
259	98.8	3101
260	98.9	3102
262	98.9	3105
266	99.0	3106
271	99.0	3107
274	99.1	3111
276	99.2	3112
278	99.2	3113
288	99.2	3114
290	99.3	3115
293	99.3	3116
303	99.3	3117
319	99.4	3118
327	99.4	3119
348	99.4	3120
355	99.5	3121
356	99.5	3122
360	99.5	3123
363	99.6	3124
376	99.6	3125
385	99.6	3126
444	99.6	3127
454	99.7	3128
483	99.7	3129
551	99.7	3130
581	99.8	3131
702	99.8	3132
866	99.8	3133
875	99.9	3134
1038	99.9	3135
1068	99.9	3136
1275	100.0	3137
1652	100.0	3138
