+RPKM	percent	accumulative_value
2.24	49.1	10494
2.25	49.3	10532
2.26	49.4	10559
2.27	49.6	10601
2.28	49.8	10639
2.29	49.9	10666
2.3	50.1	10708
2.31	50.2	10733
2.32	50.4	10767
2.33	50.5	10793
2.34	50.7	10838
2.35	50.8	10871
2.36	51.0	10896
2.37	51.1	10932
2.38	51.3	10976
2.39	51.5	11013
2.4	51.7	11050
2.41	51.8	11080
2.42	52.0	11116
2.43	52.1	11135
2.44	52.2	11166
2.45	52.3	11190
2.46	52.5	11234
2.47	52.7	11270
2.48	52.8	11291
2.49	53.0	11328
2.5	53.1	11355
2.51	53.2	11383
2.52	53.4	11410
2.53	53.5	11447
2.54	53.7	11478
2.55	53.9	11516
2.56	54.0	11542
2.57	54.1	11563
2.58	54.2	11592
2.59	54.3	11620
2.6	54.5	11651
2.61	54.6	11681
2.62	54.7	11704
2.63	54.8	11723
2.64	55.0	11752
2.65	55.1	11775
2.66	55.2	11801
2.67	55.4	11835
2.68	55.4	11854
2.69	55.5	11877
2.7	55.7	11901
2.71	55.8	11938
2.72	56.0	11970
2.73	56.1	11992
2.74	56.2	12023
2.75	56.4	12052
2.76	56.5	12083
2.77	56.6	12102
2.78	56.7	12128
2.79	56.9	12165
2.8	57.0	12195
2.81	57.1	12212
2.82	57.2	12241
2.83	57.4	12266
2.84	57.5	12297
2.85	57.7	12328
2.86	57.8	12355
2.87	57.9	12371
2.88	58.0	12394
2.89	58.1	12416
2.9	58.2	12446
2.91	58.3	12470
2.92	58.4	12492
2.93	58.6	12522
2.94	58.7	12550
2.95	58.8	12575
2.96	58.9	12604
2.97	59.1	12632
2.98	59.2	12653
2.99	59.3	12674
3.0	59.4	12699
3.01	59.5	12727
3.02	59.6	12750
3.03	59.8	12777
3.04	59.9	12806
3.05	60.0	12825
3.06	60.0	12836
3.07	60.2	12868
3.08	60.3	12883
3.09	60.4	12907
3.1	60.5	12926
3.11	60.6	12954
3.12	60.7	12977
3.13	60.8	12996
3.14	60.8	13006
3.15	60.9	13027
3.16	61.0	13045
3.17	61.1	13056
3.18	61.2	13076
3.19	61.3	13097
3.2	61.3	13114
3.21	61.4	13137
3.22	61.5	13158
3.23	61.7	13183
3.24	61.8	13212
3.25	61.9	13226
3.26	61.9	13246
3.27	62.1	13274
3.28	62.2	13295
3.29	62.3	13315
3.3	62.4	13336
3.31	62.5	13359
3.32	62.6	13380
3.33	62.7	13404
3.34	62.8	13423
3.35	62.9	13446
3.36	63.0	13470
3.37	63.1	13491
3.38	63.2	13518
3.39	63.3	13539
3.4	63.5	13568
3.41	63.6	13591
3.42	63.6	13609
3.43	63.7	13628
3.44	63.9	13656
3.45	63.9	13669
3.46	64.0	13693
3.47	64.1	13713
3.48	64.2	13730
3.49	64.3	13753
3.5	64.4	13774
3.51	64.5	13790
3.52	64.6	13803
3.53	64.6	13821
3.54	64.7	13839
3.55	64.8	13860
3.56	64.9	13882
3.57	65.0	13902
3.58	65.1	13930
3.59	65.2	13943
3.6	65.3	13960
3.61	65.4	13974
3.62	65.4	13987
3.63	65.5	14009
3.64	65.6	14025
3.65	65.7	14040
3.66	65.8	14063
3.67	65.8	14073
3.68	65.9	14087
3.69	66.0	14106
3.7	66.1	14123
3.71	66.1	14139
3.72	66.2	14161
3.73	66.3	14183
3.74	66.4	14201
3.75	66.5	14216
3.76	66.6	14230
3.77	66.6	14240
3.78	66.6	14248
3.79	66.7	14264
3.8	66.8	14279
3.81	66.8	14288
3.82	66.9	14305
3.83	67.0	14325
3.84	67.0	14336
3.85	67.1	14352
3.86	67.2	14370
3.87	67.3	14393
3.88	67.4	14410
3.89	67.5	14427
3.9	67.5	14441
3.91	67.6	14453
3.92	67.7	14470
3.93	67.7	14483
3.94	67.8	14501
3.95	67.9	14517
3.96	68.0	14533
3.97	68.1	14555
3.98	68.1	14565
3.99	68.2	14579
4.0	68.3	14598
4.01	68.3	14611
4.02	68.4	14624
4.03	68.5	14640
4.04	68.5	14653
4.05	68.6	14674
4.06	68.7	14687
4.07	68.8	14708
4.08	68.8	14712
4.09	68.9	14724
4.1	68.9	14742
4.11	69.0	14758
4.12	69.1	14772
4.13	69.2	14795
4.14	69.2	14806
4.15	69.3	14816
4.16	69.4	14831
4.17	69.4	14843
4.18	69.5	14852
4.19	69.5	14864
4.2	69.6	14878
4.21	69.7	14893
4.22	69.7	14908
4.23	69.8	14918
4.24	69.8	14931
4.25	69.9	14947
4.26	70.0	14958
4.27	70.0	14969
4.28	70.1	14980
4.29	70.1	14991
4.3	70.2	15006
4.31	70.3	15023
4.32	70.3	15038
4.33	70.4	15048
4.34	70.4	15063
4.35	70.5	15080
4.36	70.6	15096
4.37	70.6	15100
4.38	70.7	15110
4.39	70.7	15127
4.4	70.8	15135
